,username,comment,rating
0,m*****6,"Tampilan:tampilan bagus, menarik, kualitas bagus, harga sebanding dengan barangnya
Warna:warna sesuai pesanan, model juga bagus

Barang diterima dalam keadaan bagus, pengiriman cepat. Recommended pokoknya...",5
1,putramegahmuslim,"Tampilan:bagus
Warna:hitam, sesuai foto

Baju dan sepatunya bagus, terlihat dan di rasa seseg. Mudah2n awet ya
Nunggu model sneakers size 41 ready",5
2,eqsha10,"Tampilan:Bagus
Warna:Hitam Putih

Bagus banget. Sama seperti di foto, harga murmer, worth it buat pelajar seperti saya.
Terimakasih Aerostreet 🙏😁
#lokaltakgentar",5
3,g*****j,"Warna:hitam
Tampilan:Bagus

Sepatu nya bagus, dan sesuai yg di order, untuk harga ramah di kantong mahasiswa,
Thanks AeroStreet #LOKALTAKGENTAR",5
4,msuhadaaaaaaaaahhh,"Tampilan:Sepatu sneakers
Warna:Hitam

sangat cocok dan keren untuk di pake jalan' atau di pake sekolah sangat cocok sekali sangat ringan dan elegan cocok untuk pria dan wanita juga.

#TRIMAKASIH AEROSTREET ATAS BARANG NYA❤️❤️❤️❤️❤️

ingat klo belanja online di toko ""AEROSTREET"" aja, pasti terjamin kualitas nya dan terpercaya dan pengiriman barang nya cepat guys...",5
5,ljrochman,"Sepadan dengan Harga:sepadan banget worthit.
Kualitas:bagus tidak licin insole empuk lem bagus
Saran Tampilan:casual dan formal

Bagus banget sesuai dengan gambar dan deskripsi. Pas dicoba emang pantes jdi bintang 5.",5
6,alingbim,"Tampilan:kece sih
Warna:hitam

Sepatunya kece si di bagian harga juga lumayan cocok lah, ga kalah keren sama brand luaran.
Semoga produk produk lokal dapat mendunia dan dapat bersaing dengan produk lainya",4
7,ifadewi_02,"Bener bener nunggu restock sampe sering pol ngecek etalase 😭 aku setia sama aerostreet tahun 2019 belum bintang, smpe skrg masih suka aerostreet karna barangnya bagus poll ga mengecewakan. Sepatunya awet dan nyaman, kualitasnya mantappp harga kantong mahasiswa bgt 😭
Thanks seller, sukses terus ya",5
8,c0rn3lia,"Warna:Hitam
Tampilan:Real Picture

Sebagus itu dong woiii.
Empuk.
Ukurannya cek di deskripsi biar ga salah, ukuran ku pas sekali.
Thank you seller.",5
9,n*****5,"Tampilan:keren
Warna:Hitam masive

GG sie we,barangnya bagus kale.. pas nyampek langsung ku bukak terus dicoba,untuk ukuran sesuailah gak ngepas ngepas kali,pas lah pokoknya dan sesuai dengan yang di gambar,mantep buat Aerostreet, kepannya tetap kasih yang terbaik 💪🔥",5
