,username,comment,rating
0,ichaoces,"Alhamdulillah waktu itu lagi ada potongan harga 200k jadi lebih murah.. barang original, ukuran pas, jahitan dan lem super rapi, gak ada yg lecet sama sekali, dus juga aman karna packing nya lumayan oke, pengiriman kilat
Terbaik pokonya! Thanks Converse 🤍🤍🤍",5
1,evanurjayanti14,"Barang sudah dibterima dg baik,  packing rapih tdk ada penyok²,  barang 100% original,  semua aku detailin di foto dan video,  barang mulus dan oke punya,  mau yg ori ya di Converse Indonesia Official,  harga keras,  barang puas no kaleng² 😀😀😀",5
2,p*****a,"Tampilan:bagus
Warna:baguss

bagus datengnya, ori ukuran pas",5
3,suciramadanipratiwi,"ahh dapat hrg murah bgt ini mah, good 👌 size nya jg pas bgttt",5
4,f*****i,"Tampilan:sesuai
Warna:sesuai

Produknya ori! Ga mengecewakan packingan bagus! Kecepatan pengiriman juga sesuai ga nyangka dtangnya lebih cepat terimakasih min bakalan repeat order lagi nih!🤍🤍🤍🫶🏻✨",5
5,aidayusria,"Alhamdulillah barang nya sudah sampai, cepet banget pengirimannya. Seneng dehh🥰🥰",5
6,yudhanugraha1299,"Sangat sangat ori barder , ga usah di ragu kan lagi langsung checkout langsung, admin sangat ramah, kurir ramah gpp walaupun nunggu 3 hari, sangat seneng punya yang ori hehe, thnks admin, lain hari ada rezeki lagi ingsaalloh beli lagi di sinih🙏",5
7,r*****r,"Tampilan:elegan classic
Warna:mantappp

ga diragukan lagi barang original asli, barang mantap persis di outlet. jaitan rapi👍🏻 pengiriman juga cepettt",5
8,7*****v,"Good quality, akhirnya sampe juga barangnya. Jamin ori kalo ini mah…Terimakasih converseindonesia👍🏻👍🏻👍🏻👍🏻",5
9,julian_jullie,"Warna:hitam
Tampilan:oke banget

keren banget deh aku suka sekali product ini, walaupun kebesaran harusnya no 6 karena kaki aku ukuran 24,5 tapi gapapa terobati karena productnya keren parah. next beli lagi yang lainnya. terimakasih seller",5
10,sapinie.co,"Kualitas produk bagus original converse, buat harga standar rata rata original harga segitu, pengemasan juga cepat admin nya gercep, pengiriman lumayan cepat, seller juga ramah.",5
11,chinsturtlerabbit,"Tampilan:sesuai
Warna:sesuai

Bagus banget, pengiriman nya juga cepet, admin nya baik banget, pokok nya ok deh pelayanan nya",5
12,y*****h,"Pengiriman cepat, chat adminya juga d respon baik, bagus sukak 💕💕💕 kegedean dikit aj sii ukuran 4 1/2 harusnya 4 aja keknya wkwk tp gapap mungkin kalo make kaos kaki g gede bgt suka pokonya, blm tau asli engganya yg pasti udh bagusss bgt bgt bgt 💋🥺",5
13,r*****o,"Warna:baik
Tampilan:bagus

bagus banget, ori juga. cocok buat banyak outfit, apalagi buat kaum minimalist kayak saya.",5
14,r*****i,"Pokoknyaa pas mantap 
Pengiriman cepet 
Seller ramah baik mantap pokoknya",5
15,salman.22,"Bagus banget, original ya gais yaa
Canvas ny original,glossy",5
16,l*****1,"pengiriman ga sampe dua hariii,admin nya ramah,packaging okee,bagus bgtt,aku biasa pake 38 tp ini ngepas masi ada ruang dikit,thankyouu🥰🥰",5
17,r*****m,"Tampilan:ok
Warna:ok

Pas bgt ukuranya sesuai dan nyaman di kaki, pengiriman lama karena adanya pake jne ke daerahku, semoga awet aja dan warna ga pudar abis di cuci",4
18,santihidayanti123,"Tampilan:good
Warna:hitam

Ukurannya sesuai di kaki aku, produk emang original karna ini officialnya converse ya 👍🏻 Kalo diukur pake penggaris kakiku 24 cm tapi kalo beli sepatu yg unisex gini aku ambil yg size 4.5 (23,5 cm) karna aku gaksuka sepatu yg lebihnya banyak dibagian depan, aku suka yg ngepas di kaki. Tapi saran buat kalian kalo gaksuka yg ngepres ambil yg 5.5 aja buat ukuran kaki yg 24,5 cm. Agak bete dikit ya karna ada bercak bercak putih, tp bisa dibersihkan kok. Biasanya karna stock lama disimpan kalo ngga ya karna disimpan di tempat lemba. But worth it to buy guys",5
19,d*****o,"Tampilan:Klasik, original
Warna:Hitam

Sudah wishlist dari dulu akhirnya kebeli, lumayan ada diskon. Kualitas oke banget, sepatu dan box masih baru kinclong, memang official store terbaik 👍",5
20,a*****_,"Warna:black
Tampilan:bagus

produk 100% original pengirimannya juga cepat banget. aku yang biasa pakai size 36 pakai size 3,5 pas banget",5
21,kaycybele,"Warna:yaa itam wkwk
Tampilan:kece abis

ini asli gercep banget sih, dan emang kualitasnya yah ori sih ya, makanya emang keren bgt :D padahal ukuran kaki aku 42, cuma krn abis stok makanya aku pilih yang ukuran 43, tapi tetep cakep weh🥺 tetep nyaman aja dipakenya❤️ pokoknya puas banget beli disinii banget banget bangettt
Thank you yaaa, kurirnya juga ramah hehe ;D",5
22,s*****a,"Warna:mantap
Tampilan:mantap

Pengiriman cepattttt harga lumayaan, pass di kaki",5
23,suprihatin0069,"cari size 8 gak ada, sedikit kebesaran :')

overall bagus, pengirimanya cepet.. minggu langsung di kirim, senin siang langsung sampai

thanks 🤟",5
24,ainaini03,"Warna:baik

Midsol bisa dilepas pas diukur 24.5 cm padahal udah ngikutin deskripsi box yg tulisannya 23.5cm
Sedih harus pake kaoskaki yg tebel biar sepatunya ga copot pas jalan..
Mungkin harusnya beli yg 22.5 bisa jadi midsolnya 23.5
Atau ada yg mau tukeran sama aku..yg beli ukuran 3 kekecilan bisa tukeran sama aku yg ukuran 4.5 :)",4
25,r*****w,"Tampilan:Bagus pol
Warna:mantab

pokoknya puas banget dan recomended lah, dan ukuran bener2 pas bgt diaku suka bangetko",5
26,y*****9,"Seneng deh belanja disini, banyak voucher diskon, pengiriman cepat, barang oke, size lengkap. Kalo di toko offline sering kosong sizenya hehe. Thanks seller 👍",5
27,lidyafebriani142,Request minta dikirim cepet dari bekasi ke jakbar cepet juga sampenya,5
28,t*****a,"Tampilan:baik
Warna:black

akhirnya sampai juga hihi, pengiriman cepat, barang aman dan baik, semoga awet, thankyouu",5
29,jafar0203,"Tampilan:bagus banget . barang g kecewa
Warna:hitam",5
30,rarasnilamcahya,"pengirimannya cepet, respon juga baik, baru pertama kali beli converse sih dan buat kado pacar, bukan buat akuu huhuhu keren beet semoga cowo aku sukaa hihihi. makasiiihhh tapi sayangnya kalau beli online gadapt paperbag, tp gpp ttp suka kok",5
31,fitrihardiyanti29,"Barang udah sampe ,makasih kak.
Sukak bangettt beneran ori😍😍😍🥰",5
32,ajrinanuranti,"Pengiriman cepet banget, 2 hari aja.. ukuran kaki 38 di 5.5 bener...",5
33,asepilhm5,,5
34,f*****n,"Tampilan:okelah
Warna:seperti di gambar

Pengemasan rapi, pengiriman cepat. Size sesuai deskripsi meskipun di kakiku agak kebesaran dikit. Dibaca dulu Yaa size-nya buat unisex atau women, karna beda.",5
35,eniloho,kok beda banget ya sama yg beli distore conversenya langsung 😭😢😭😩,3
36,h*****0,"Warna:hitam
Tampilan:bagus

Produk sangat bagus, kokoh dan keren. Soll kuat untuk jangka lama",5
37,c*****a,"Tampilan:sesuai
Warna:black white

Baru pertama beli disini. Oriiii. Barang diterima dalam kondisi baik. Pengemasan baik. Produk sesuai gambar. Warna sesuai. Ukurannya sesuai pesanan, udah kucoba dan pas banget. Worth the wait. Semoga awetttt. Terima kasih.",4
38,a*****g,"Tampilan:oke
Warna:oke

Ukuran belum dicoba, tapi kondisi barang bagus",5
39,dennisrembet,"Barang sampai dengan baik, tidak cacat , dan original🥳 pengiriman jg cepat🤩",5
40,aidayusria,"Alhamdulillah barang nya sudah sampai, cepet banget pengirimannya. Seneng dehh yihii🥰🥰",5
41,m.sdrwati,Sayang bgt padahal sengaja beli di shopee mall nya Converse langsung karna lebih trusted taunya dikirimnya kondisi gini. Kecewa. Harusnya QC nya lebih teliti lagi. Pastikan barang sampai ke konsumen itu memuaskan biar sama2 enak. Tolong ditingkatkan lagi!,2
42,f*****a,"Voucher diskonnya lumayan banget, masih ditambah cashback juga pas beli. Ukuran sesuai dengan pesanan dan cm, pengemasan juga ok masih ditambah kardus. Pengemasan lumayan lama tapi gpp karena pas ramadhan sale juga. Makasih!👍🏻👍🏻👍🏻",5
43,p*****s,"Tampilan:Gilaaaa
Warna:Sesuai

Cepet gila, pesen malam besok sorenya sampai",5
44,c*****0,"pengirimannya sangat cepat, barang yang dikirim juga sesuai dengan pesanan. suka bangett sih sama sepatunyaa",5
45,tria770,"Tampilan:sesuai
Warna:hitam

Responnya cepat...pengirimannya juga cepat..terima kasih admin sudah mengirim sesuai keinginan..asli original 100%... dapat diskon juga...alhamdulillah",5
46,s*****x,Kualitas produk sangat baik. Produk original. Harga produk sangat baik.,5
47,j*****_,"Tampilan:Good
Warna:Good

Sempat binggung pilih ukuran wkwk, so untuk ukuran 42/43 kalian bisa pilih ukuran yg 8,5.",5
48,auliyaa.ka_,"Tampilan:Ori
Warna:black

Ngga ragu klo beli disini, soalnya uda follow ignya dan akun shopee nya langsung ke sini, jadi udah pasti covers original dan produl mall hehe alhamdulillah mau beli yg variasi lgi disini",5
49,ririntrisnayantii,"Warna:sesuai gambar
Tampilan:real pict

Barang bagus dan original, pengiriman aman",5
50,_wuulansss,"barangnya mantul bener cuyyy, aga was was si soalnya banyak yg dapet barang kurang sesuai sama ekspetasi. legit bangett cuma ada kek noda/goresan item samar samar gitu but its okeyy tetep cakeep ga keliatan soalnya, makasi admin dan mas kurir🤟",4
51,a*****2,"Warna:sesuai
Tampilan:ga tahu bagus bgt

Pengiriman cepet bgt, bekasi - bdg cmn satu hari. Sempet bingung pilih size sampe cancel beberapa kali haha. Untuk bantu teman yg lain, size kaki aku 21, tp biasa pake uk 37. Jd aku ambil yg uk 4,5 kegedean dikit tp nyaman seperti biasa aku pake sepatu yg lain. Sepatunya keren bgttt nget nget. Makasih converse dan sopi. Beli pas diskon😌",5
52,tioramadhan25,"Barang ori dari pt map, pcking rapih kardus no penyok penyok pokonya beli di converse official pilihan terbaikkkkkk",5
53,s*****o,"Barangnya bagus original, seller ramah fast respon, apalagi pengiriman nya mantap banget nyampe cepettt",5
54,f*****a,"Tampilan:keren abis
Warna:real picture

Seneng banget akhirnya dapet size juga dan promo pula, terimakasih! Makin cinta sama converse",5
55,yunitadkk26,"Tampilan:oke
Warna:oke

Karena belinya diofficial converse jadi gak ragu kalo gak ori udah pasti 100% original,beli pas diskon lumayan bgt karena kalo distore gak diskon diskon🥳🥳",5
56,n*****a,"Tampilan:keren abis
Warna:cakep pastinya

seneng banget dapet potongan 200k, pengiriman juga cepet, thank you🫶🏻",5
57,amalia98,"Nyampenya telat dari estimasi tapi itu salah logistik, tetep bintang 5 karna produk aman luvvv thankyouuuuu",5
58,j*****1,"Tampilan:BAGUSSS
Warna:HITAMM

BARANG SAMPAI DENGAN AMAN! BAGUS BANGET G NGERTI LAGI INI PARAH 1,5 DPT 2 CUYY JARANG2",5
59,hanni.sun,"Tampilan:bagus anett
Warna:hitam

Bagus bgttt, pengiriman juga cepat bgtt, sepatu nya asli juga, makasih seller",5
60,n*****7,original shoes 👍🏻👍🏻👍🏻👍🏻👍🏻,5
61,g*****i,"Sepatu original semoga awet, cuman dari pihak ekspedisinya pengirimannya lama banget gatau kenapa mungkin efek 6.6",5
62,s*****9,"Tampilan:Bagus
Warna:Oke

Yang ditunggu2 dah sampe kemaren sore, baru sempat review hari ini...Sepatunya bagus..cakep, Beli Di officialnya langsung jadinya Harusnya Original wkwkw
Lem2 an rapi semua Cakeplah sesuai harapan pembeli wkwkwk

packingan 👍 tq converse, tq juga shopee🙏",5
63,anjarzazhashaqiri,"Tampilan:ok
Warna:ok

Ok. Tks barang dah sampai dengan cepat dan mantap kualitas ok. Next order.",5
64,aryuvega,"Warna:hitam
Tampilan:keren sesuai yang ada di photo

Sepatu nya keren, gw sangat suka banget , ini pembelian sepatu yang ke 7, ayukk teman teman belanja disini gw jamin ori 👍👍👍👍👍",5
65,m*****4,"Klo dr official converse nya mahh jng diraguin lagi👍🏻 cuman buat evaluasi option pengirimannya tolong ditambahin j&t soalnya klo pake si cepat lama bgt estimasinya, But over all thank u",5
66,a*****4,paketnya sudah sampai packing aman produk sesuai dengan pesanan terimakasiha,5
67,lailyaliyah15,"Barang original. Biasa pakai nomor 41 pakai nomor 7,5 pas banget.",5
68,dimas.adjie,Mantab 👍,5
69,a*****3,"Tampilan:bagus
Warna:hitam egret

baguus pengiriman kilat brow✨",4
70,a*****n,"Sempet deg degan takut gak muat dan ternyata biasa pake size 38/39 pakai yg US 4.5 passss😍
Semoga awet & jadi langganan👍🏻",5
71,n*****g,"Warna:Black

Bagus dan nyaman, kalau converse tidak usah diragukan lagi. Salah satu wishlist kebeli juga akhirnya ✨🚀",5
72,w*****s,"Barang sudah diterima, pengiriman lumayan cepat. 
Terimakasih👍👍😉😁😁😁",5
73,n*****_,"Tampilan:bagus
Warna:bagus

Produk original, pengiriman cepat, kemasan baik",5
74,s*****n,"Nice. Ga ada yang rusak, lengkap semua, sampai ke tangan dengan aman.",4
75,anisa_hidayati,,5
76,s*****c,"Ada keterlambatan pengiriman dari SiCepat nya tapi gpp, cuma box nya ada sobek dikit mungkin ke tindih barang berat, untung isi nya gpp dan sepatunya aman ga ada cacat",5
77,a*****s,"Tampilan:oke
Warna:sesuai

aampai dengan selamat dan aman, pengiriman standarsih tapi oke lah. mudah”an awet buat nambah koleksi sepatu conversku",5
78,kitasetara.co,"Original bro jangan di ragukan lagi sat set sat set , next pesen lagi nanti 🖤😇 terbaik
Converse official store terbaik 🖤
Jangan lupa pengiriman nya lewat JNE cepet banget 🥳",5
79,y*****a,"Tampilan:baik
Warna:bagus

Cepet pengirimannya, sesuai dengan yang diharapkan barangnya",5
80,r*****a,"Tampilan:baguus.....selamat sampai tujuan. packing lumayan aman
Warna:warna hitam",5
81,ridhohafiedz16,"Tampilan:sesuai
Warna:pekat

Agak kecewa sih sama rilisan tahun sekarang, tag nya malah disamain sama yang kw

Semua file yang berisi full pack terjadi eror akan di perbarui segera
Semua file yang berisi full pack terjadi eror akan di perbarui segera
Semua file yang berisi full pack terjadi eror akan di perbarui segera
Semua file yang berisi full pack terjadi eror akan di perbarui segera",5
82,dedenahmad999,Terima kasih barang sudah sampai dengan selamat,5
83,t*****8,"Tampilan:Cukup elegan
Warna:Sesuai dengan foto produk yang tertera

Seller slowrespon, packing bagus, order hari ini dikirim hari itu juga, pengiriman sangat cepat terimakasih ekpedisi J&T. Semoga awet dipake untuk sehari hari",4
84,budisilvy17,"Tampilan:sangat bagus

Nyari ke store sudah soldout Chuck nya..
Alhasil gercep ke sini..
Alhamdulillah dapat 🤗🤗
Original Converse 😍😍🥰🥰🥰",5
85,e*****o,"Tampilan:bagus banget legit
Warna:keren

Ori 💯 % dijamin legit
Biasa pakai ukuran 41 26 cm jadi pilih US 7,5
Dikasih double box jadi tidak penyok sama sekali box ori nya pokoknya mantab 👌🏻👌🏻",5
86,s*****r,"Tampilan:bagus, rapi
Warna:hitam

packaging aman dan rapi, pengirimannya cepattt, barang juga oke. thanks seller",5
87,ruthanneims30,"tali nya panjang sebelah, apa karna diskon? wkwkw ga di cek ulang sebelum di kirim? 
udah kirim semua ketentuan complain, foto barcode dll tapi belum di bales ga ada solusi dari admin nya",2
88,kakini.st,"Tampilan:sesuai
Warna:sesuai

Converse emang yang terbaik. Dijamin ori sih pastinya karena officialnya langsung.",5
89,f*****u,"Dijamin ori, sol sangat tebal terus empuk banget tengkyu seller",5
90,fitawidodo,"Allhamdullilah barang ori lur... Thx seller walupun slow respon, yg penting kwalitas bagus.",5
91,shaskyaptr,"Keren keren.. seneng bat dah ada officialnya di shopee..
Kualitas gak diragukan lah.
Thanks converse..",5
92,shaskyaptr,Cepat sampai.. simple tapi bagus. Dah lah sudah terlalu cinta sama converse..,5
93,s*****s,"ori udah pasti krn official wkwk lebih deg degan ke ukurannya sih waktu mau beli soalnya baru pertama kali beli sepatu online, eh ternyata pas nyampe alhamdulillah muat dong di kaki yg biasa pake ukuran 38 huhuu",5
94,r*****4,"Tampilan:keren

Bagussss banget dijamin original dan cepat banget smpnya",5
95,p*****5,"Warna:hitam

Sempet ragu sama ukuran karena ukuran kaki aku yg super mungil. Udh bener size 36 pake 3,5. Over all bagussssss",5
96,y*****9,"Warna:hitam
Tampilan:Bagus

Ori 100% bagus bahannya baguss , pokoknyaa semuanya mewah keliatannyaa gak bakal nyesel sihh belanja disini., apalagi dapet diskon 20persen mantulll.
 pengirimannya cepet baget 
chekout hari minggu dateng dihari senin , satset bgt pasti langganan ditoko ini gercep",5
97,a*****3,"Warna:sepatu hitam
Tampilan:bagus sesuai dengan yang ada di store cocok buat sekolah dan jalan",5
98,r*****a,"Tampilan:sesuai dengan gambar nya
Warna:bagus keren

Enak di pakai nya, nyaman pas di kaki 
Sepatu nya jg oke kereeeeeennnn deh... 
Thankkkssss ya....",5
99,risca.fauzi,"Sempet ketar ketir sama expedisi ny . 
Krana pesen sepatu dan kaos kaki , tapi di kirim ny terpisah .",4
100,v*****g,"suka bnget
uda dr dlu ngidam sepatu ini
pas bgt lg restock
thanks seller",5
101,sabilanindy,"Bagus sih, pengeriman cepet. Kirain bakalan kegedean ternyata pas bgt",5
102,n*****y,"Tampilan:Keren banget
Warna:Black

Pengiriman cepet banget, ukuran sesuai, barang juga gaada yg lecet lecet mulus seperti baru",5
103,m*****7,"Bagus original, semoga awet ni sepatu. Beli biar samaan sm bini biar couple an kaya anak anak jaman now gtu katanye mah",5
104,e*****1,"Tampilan:bagus
Warna:bagus

Sebagus itu. Pengiriman juga cepet bgt, cuman ukurannya beda 1-2 cm sama yg biasa dipake",5
105,septinaputrirahayu,"suka bangettt pass, cocok buat kaki kecil kaya aku karena susah bgt dapet size yg pas 😭😭😂🥰👍👍",5
106,hendralezmanaa,"Warna:black
Tampilan:keren

Jujur setelah kemarin sempet salah size dan akhirnya dijual ke temen. Akhirnya skrg pas banget sizenya. Keren banget original👌🏿 udah lama pengen bgt sepatu ini🥹",5
107,adriansyahruhman,"Gokil pesen kemarin sore hari ini dateng, harga ga bohong keren",5
108,vriskaaura,Dari jaman sekolah selalu pake converse sampe sekarang udah kerja pake nya converse juga,5
109,nurulanisah_99,Tampilan:bagus pollll ga nyesell dan ukurannya pas terimakasiii converse👍🏻👍🏻🙏🏻🙏🏻,5
110,santatesalonika,"Thankyoouuuuu, soal ori mah udeh pasti lah yaa wkwk finally aku punya sepatu sejuta umat ini & pengirimannya cepet bgt dah xixi maaciw",5
111,r*****3,"biasannya langsung beli ke storenya, tapi mumpung di online sizenya lagi ada jadi beli online. ada lecetnya sedikit",5
112,muhammadkhariezzmaardy,"Tampilan:barang legit istri suka bgt..next bakalan order lagi
Warna:hitam

Dijamin ORI gais.",5
113,njhabit,"Sebenernya kecewa bgt sih beli , yg dateng ukuran kanan juga kirinya beda , udah coba konfirmasi cuma due appologized doang tanpa kasih solusi yg udah jelas itu ukuran beda yg 1 ukuran 7 yg 1 lagi ukuran 7,5 secara logika juga gue ga pesen kanan kiri kek softlenss ya , coba baik baik jelasin ke adm minta dikirim foto ini itu ujungnya tetep ga bisa dituner . Terimakasih anda juga begitu buruk dalam pelayanan juga problem solving 🙏🏻",1
114,thrshw96_,,5
115,ikfbrn,bagus original tp sayang salah ukuran jadinya ngepas bgt malah sakit kalo buat jalan kwrena sol nya tebel jugaaa mana gabisa dituker hiksss tp gpp. o ya kalo ada yg mau barter ukuran jg boleee aku hrusnya uk 37 🥺,4
116,geewonniiii,Udah gaj usah ragu. Dah dijamin ori dan kualitas emg sebagus ituuuuuu,5
117,ameliaelsa98,Pengurimsn cpt dan respon penjual cpt,5
118,m*****1,"Aaaa sukaa bgt dan puas dgn pelayanan seller. Kurir jg gercep, cm 2 hari patu udaa mendarat dirumah. Makasii seller dan shopee",5
119,a*****y,bner2 glossy.. pengiriman cepet. orii no kw  emg paling bner beli teh di official nyaa. nyesel kmren smpet ketipu di sebelah 😭,5
120,k*****g,"Produk original dan rapih, ga ada beda sama beli di offline store. Pengiriman nya agak lama dan kardus nya rusak sobek penyok juga kayaknya karna proses pengiriman sih. But overall the product is good! Thanks seller 🖤",5
121,,"Tampilan:good
Warna:yes

Barang original. Pengiriman dan respon baik.",5
122,fi1mvge_2t,"Tampilan:keren
Warna:baguss

Yaampun ini baguss bangett woii cakep",5
123,n*****2,overall seller dan produk oke,5
124,brian_ali,"100%original klo di kamera emg kelihatannya putih tp klo di aslinya rada kekuningan(ciri khas ct70s) worthit sih soalnya di offline store gk stok ukiran ini,btw tali sepatu aslinya kecil guw ganti pake tali sepatu lain ya...",5
125,e*****n,"Tampilan:Bagussss
Warna:hitam

Pengiriman lumayan cepat. Paking bagusss gx ada yang penyok aman. Thx seller shoppe",5
126,mas_ari25,"Warna:mantap
Tampilan:keren banget

Tidak mengecewakan produk asli original barang sudah nyampek dan pengirimannya pun cepat",5
127,yuniandani_,Produk original. Packingnya rapih double kardus. Pengirimannya cepet banget. Kualitas oke sesuai harganya,5
128,a*****2,"Warna:bagus mantul
Tampilan:sesuai gamabr

Mantul original",5
129,emen_str_p,"Tampilan:kalau menurut saya yang penggemar converse,kurang rapi aja dikit di bagian sol nya
Warna:black

Alhamdulillah pesanan sudah sampai dengan selamat,terimakasih shopee",3
130,a*****o,Klasik. Suka banget converse chuck 70. Authentic dari dulu dan ga pernah ketinggalan jaman,5
131,r*****i,"Warna:tidak terlalu overcolor
Tampilan:gooddd

selalu senang dengan desain chuck taylor, tidak terlalu menarik perhatian ketika di pakai😍😍",5
132,adaw_02,"Agak kecewa, pengiriman lama",5
133,feyzarna011,cepet banget yamponnn dah nyampe dahal estimasi minggu tapi udah nyampe aja hihi sukakkk tolong banget yang warna putih direadyin women plis bget ini mah mau beli,5
134,vicky.store18,"Baguuss, oriiii semoga awet. Biar awet jgn dicuci² yages yaa biarkan membuluk dgn sendirinya. Makin buluk maqueen mevvaah dan maqueen kereen",5
135,r*****1,"Tampilan:sesuai converse original 100000%
Warna:hitam putih

Keren bangett, pengirimannya juga cepat bgtt✨",5
136,disamhr03,,5
137,ainunnadiraa,"Tampilan:bagus banget
Warna:bagus banget

Alhamdulillah pas ya Allah, udah ketar ketir pas nungguin takut kekecilan atau kebesaran, alhamdulillah pas ya Allah, terima kasih hihi",5
138,dimaspraska123,"baguss bgt si ini 😮‍💨 minta dikirim cepet sama adminnya , bener bener cepet nyampe rumah , thanks bgt lho adminn",5
139,fitrifajrina2,"produk original. pengiriman lumayan cepat, sangat amanah, dan barang sesuai dengan gambar. terimakasih yaa🙏🏻🙏🏻",5
140,lusiananeneng,"Tampilan:bagus
Warna:bagus

Next order lagi😊",5
141,l*****h,respon penjual oke banget sih hehe packing juga aman ditambah kardus lagi thank u ya,5
142,sriwahyu7279,"Warna:sesuai foto
Tampilan:Bagus

Barangnya memuaskan,,,sesuai dg haeganya",5
143,lutfikusuma348,"Barangnya original, kualitas terbaikkk!!! 
 Ngk nyesel beli disini😊",5
144,norakresnawati,"Tampilan:keren
Warna:mantap

Tidak perlu diragukan lagi",5
145,kangbaharrrrr,"Tampilan:bagus bget
Warna:sesuai pesanan

packing sangat aman dan pengiriman cepet. soal kualitas jgan ditanya. 💯",5
146,y*****3,"Selalu puas beli d sports station, pengiriman cepat packing aman selalu.. Sering discount",5
147,k*****6,,5
148,kholiqtole5,"Tampilan:bagus
Warna:bagus

Packing bagus
Ukuran pas.
Pengiriman juga cepat",5
149,a*****0,"barang sudah diterima dengan baik,",5
150,nabilatulffff,"Tampilan:bagus
Warna:bgs

kegedean. adminya sulit dihubungi, mau chat tanya ukuran baru dibalas 3 hari kemudian (itupun ga ada solusi). sekelas official store pdhl, dan ud bnyk jg yg komplain ttg ukuran.. tp knp gada perbaikan. semoga kedepannya g terjadi lg spt ini. maaf sy kasi bintang 2 krn kecewa dgn pelayanan",2
151,novvvaakk,"Tampilan:bagus
Warna:blaack

Barang sih bagus,sedikit kecewa karena gaada paperbag nya",4
152,windysaviraa96,"Tampilan:oke
Warna:hitam

Real pict bagus banget, sesuai harga juga lebih trjangkau d banding toko yg lain pengiriman juga cepet, mksii seller
Maaf fto tdk sesuai",5
153,pipitfitriyani20,"Sepatunya bagus bgt original, tapi size nya kekecilan karna ngga ngerti size lokal sm size luar. Dan yg sangat disayangkan tdk bisa ditukar 🥺",4
154,b*****0,,5
155,rinduri_,"Tampilan:sesuai gambar
Warna:sesuai pesanan

Aaa keren banget sih, kualitas oke di jamin original. Mantap",5
156,a*****d,"Tampilan:ok banget
Warna:sesuai

akhirnya punya juga nih sepatu idaman gua.",5
157,joheskawlanov,"Tampilan:keren sih, cuma anehnya barcode nya gabisa di scan
Warna:black white",5
158,fadiamardhotillah,"Suka bgt sesuai ekspektasi gue, semoga awet luv banget deh pokoknya",5
159,a*****n,"Warna:oke
Tampilan:oke

Kalian wajib beli di toko ini karena the best terbaik dari yang lain punya. Ga ada dua nya cuma ini aja inget ya",5
160,boiem14,"Mendarat dengan mulus, 
Barang sesuai.
Delivery gercep good👍",5
161,d*****j,"gile cepet bener sampe nya. 
overall bagus ga ada cacat 🫶🏻",5
162,a*****5,Cepet bgt sampenya dan barang dijamin original,5
163,d*****v,"barang datang salah ukuran, di pesannya 7 tapi yang datang 9,5.. tpi sodara ada yg mau beli jdinya gak jadi pengembalian😬 kedepannya untuk QC lebih teliti lagi ya!",3
164,b*****9,"Tampilan:barang udah tiba tapi barang yang saya pesan salah kegedean, jadi kali aja ada yang mau beli nawarin",5
165,fannynadra67,"Good, oke bangetttttttttt , ga nyesellllllllllllllllllllllllllllllllllllllllll",5
166,icisjsywaaanakq8182718,"🥲 udh gk diraguin lagi lah ke orisinalitasannya, orang official shop",5
167,w*****i,Agak kebesaran sih dikit. Tp spatunya bagus kok. Syg d kotak nya bolong:”) qq mimin nya cueqq g bs d ajak konsul ukuran spatu. Nanya uk spatu yg pas cuma d ksh list uk ajaaahhh tp gpp bagus kokkk spatunyaaa cixixixixiixx,4
168,a*****9,"Overall ok  lah 
Cuma boxnya aja yg penyok 
100% ORI 
Semoga ada rejeki lagi buat beli di toko ini 😅",4
